sdName,sggName,office,office_type,sgTypecode,의원정수,등록후보수,경쟁률,무투표당선여부,무투표판정기준,비례대표_단일정당명부여부,등록미달여부,경쟁률_1미만여부,해당선거구_후보huboid_리스트,해당선거구_후보명_리스트,해당선거구_정당_리스트,체납이력_후보수,현체납_후보수,전과공개_후보수,공직검증전과_후보수,공직선거법전과_후보수,체납+공직검증전과_동시보유_후보수,검증위험_플래그,district_key
경기도,시흥시제3선거구,시도의원,지역구,5,1,1,1.00,Y,등록후보수_의원정수이하,N,N,N,100160675,김영훈,더불어민주당,0,0,1,1,1,0,Y,5|경기도|시흥시제3선거구
경기도,안산시제5선거구,시도의원,지역구,5,1,1,1.00,Y,등록후보수_의원정수이하,N,N,N,100162460,이은미,더불어민주당,1,0,0,0,0,0,Y,5|경기도|안산시제5선거구
경기도,화성시제8선거구,시도의원,지역구,5,1,1,1.00,Y,등록후보수_의원정수이하,N,N,N,100163181,김영수,더불어민주당,0,0,1,1,0,0,Y,5|경기도|화성시제8선거구
경상북도,봉화군,기초의원비례,비례,9,1,2,2.00,Y,비례대표_단일정당명부,Y,N,N,"100164698, 100164699","김영희, 류정단","국민의힘, 국민의힘",1,0,1,0,0,0,Y,9|경상북도|봉화군
경상북도,울릉군,기초의원비례,비례,9,1,1,1.00,Y,등록후보수_의원정수이하,N,N,N,100165001,최윤정,국민의힘,1,0,0,0,0,0,Y,9|경상북도|울릉군
경상북도,울진군,기초의원비례,비례,9,1,1,1.00,Y,등록후보수_의원정수이하,N,N,N,100164891,박명숙,국민의힘,0,0,1,1,1,0,Y,9|경상북도|울진군
경상북도,청도군,기초의원비례,비례,9,1,1,1.00,Y,등록후보수_의원정수이하,N,N,N,100165321,변소영,국민의힘,1,0,0,0,0,0,Y,9|경상북도|청도군
경상북도,칠곡군,기초의원비례,비례,9,1,1,1.00,Y,등록후보수_의원정수이하,N,N,N,100164835,박은화,국민의힘,1,0,0,0,0,0,Y,9|경상북도|칠곡군
경상북도,경주시제2선거구,시도의원,지역구,5,1,1,1.00,Y,등록후보수_의원정수이하,N,N,N,100159072,최덕규,국민의힘,0,0,1,1,0,0,Y,5|경상북도|경주시제2선거구
경상북도,경주시제4선거구,시도의원,지역구,5,1,1,1.00,Y,등록후보수_의원정수이하,N,N,N,100162802,이동협,국민의힘,0,0,1,1,0,0,Y,5|경상북도|경주시제4선거구
경상북도,고령군선거구,시도의원,지역구,5,1,1,1.00,Y,등록후보수_의원정수이하,N,N,N,100161819,노성환,국민의힘,0,0,1,1,0,0,Y,5|경상북도|고령군선거구
경상북도,김천시제1선거구,시도의원,지역구,5,1,1,1.00,Y,등록후보수_의원정수이하,N,N,N,100162812,최병근,국민의힘,0,0,1,1,0,0,Y,5|경상북도|김천시제1선거구
경상북도,김천시제2선거구,시도의원,지역구,5,1,1,1.00,Y,등록후보수_의원정수이하,N,N,N,100161391,이우청,국민의힘,0,0,1,1,0,0,Y,5|경상북도|김천시제2선거구
경상북도,성주군선거구,시도의원,지역구,5,1,1,1.00,Y,등록후보수_의원정수이하,N,N,N,100161815,도희재,국민의힘,0,0,1,1,0,0,Y,5|경상북도|성주군선거구
경상북도,안동시제1선거구,시도의원,지역구,5,1,1,1.00,Y,등록후보수_의원정수이하,N,N,N,100163912,김대진,국민의힘,1,0,1,1,0,1,Y,5|경상북도|안동시제1선거구
경상북도,영천시제2선거구,시도의원,지역구,5,1,1,1.00,Y,등록후보수_의원정수이하,N,N,N,100158151,윤승오,국민의힘,0,0,1,1,0,0,Y,5|경상북도|영천시제2선거구
경상북도,의성군제2선거구,시도의원,지역구,5,1,1,1.00,Y,등록후보수_의원정수이하,N,N,N,100156763,김수문,국민의힘,0,0,1,1,0,0,Y,5|경상북도|의성군제2선거구
경상북도,청송군선거구,시도의원,지역구,5,1,1,1.00,Y,등록후보수_의원정수이하,N,N,N,100156646,신효광,국민의힘,0,0,1,1,1,0,Y,5|경상북도|청송군선거구
경상북도,포항시제4선거구,시도의원,지역구,5,1,1,1.00,Y,등록후보수_의원정수이하,N,N,N,100163625,연규식,국민의힘,1,0,0,0,0,0,Y,5|경상북도|포항시제4선거구
경상북도,포항시제5선거구,시도의원,지역구,5,1,1,1.00,Y,등록후보수_의원정수이하,N,N,N,100163417,김희수,국민의힘,0,0,1,1,0,0,Y,5|경상북도|포항시제5선거구
경상북도,포항시제6선거구,시도의원,지역구,5,1,1,1.00,Y,등록후보수_의원정수이하,N,N,N,100162708,서재원,국민의힘,0,0,1,1,0,0,Y,5|경상북도|포항시제6선거구
광주광역시,광산구제4선거구,시도의원,지역구,5,1,1,1.00,Y,등록후보수_의원정수이하,N,N,N,100156747,이귀순,더불어민주당,1,0,0,0,0,0,Y,5|광주광역시|광산구제4선거구
광주광역시,남구제2선거구,시도의원,지역구,5,1,1,1.00,Y,등록후보수_의원정수이하,N,N,N,100158960,박상길,더불어민주당,0,0,1,1,1,0,Y,5|광주광역시|남구제2선거구
광주광역시,서구제4선거구,시도의원,지역구,5,1,1,1.00,Y,등록후보수_의원정수이하,N,N,N,100156009,심철의,더불어민주당,1,0,0,0,0,0,Y,5|광주광역시|서구제4선거구
인천광역시,부평구제6선거구,시도의원,지역구,5,1,1,1.00,Y,등록후보수_의원정수이하,N,N,N,100158141,박종혁,더불어민주당,0,0,1,1,0,0,Y,5|인천광역시|부평구제6선거구
전라남도,무안군,기초의원비례,비례,9,1,1,1.00,Y,등록후보수_의원정수이하,N,N,N,100165544,정소혜,더불어민주당,1,0,0,0,0,0,Y,9|전라남도|무안군
전라남도,영광군,기초의원비례,비례,9,1,2,2.00,Y,비례대표_단일정당명부,Y,N,N,"100165816, 100165813","김선옥, 박노은","더불어민주당, 더불어민주당",0,0,1,1,1,0,Y,9|전라남도|영광군
