sim_id,강원특별자치도,경기도,경상남도,경상북도,광주광역시,대구광역시,대전광역시,부산광역시,서울특별시,세종특별자치시,울산광역시,인천광역시,전라남도,전북특별자치도,제주특별자치도,충청남도,충청북도
285,D,D,R,R,D,R,R,R,D,D,R,D,D,D,D,D,D
286,R,D,R,R,D,R,R,R,R,D,R,R,D,D,D,R,D
287,D,D,D,R,D,R,D,D,D,D,R,D,D,D,D,D,D
288,D,R,R,R,D,R,D,D,D,D,R,D,D,D,D,D,D
289,D,R,R,R,D,R,R,R,R,D,R,R,D,D,D,R,D
290,R,R,R,R,D,R,R,R,D,R,D,D,D,D,D,R,D
291,R,D,R,R,D,R,D,R,D,R,R,D,D,D,R,R,D
292,R,R,R,R,D,R,R,R,R,D,R,R,D,D,R,D,R
293,R,R,R,R,D,R,R,R,R,D,R,R,D,D,D,R,R
294,D,R,R,R,D,R,R,D,R,R,R,R,D,D,R,R,R
295,R,R,R,R,D,R,R,R,R,R,R,R,D,D,R,R,R
296,D,R,R,R,D,R,D,R,R,D,R,D,D,D,R,D,R
297,D,R,R,R,D,R,D,R,D,D,R,R,D,D,R,R,R
298,D,D,D,R,D,R,D,R,D,D,R,D,D,D,D,D,R
299,R,R,R,R,D,R,R,R,R,D,R,R,D,D,D,R,D
300,R,R,R,R,R,R,R,R,R,R,R,R,D,D,R,R,R
301,R,R,R,R,D,R,R,R,R,R,R,R,D,D,R,R,R
302,R,R,R,R,D,R,R,R,D,D,D,R,D,D,D,R,R
303,R,R,R,R,D,R,D,R,D,D,R,R,D,D,D,D,R
304,R,D,R,R,D,R,R,R,R,R,R,R,D,D,D,R,R
305,R,R,R,R,D,R,D,R,R,D,R,R,D,D,R,D,D
306,R,R,R,R,D,R,R,R,R,R,R,R,D,D,R,R,D
307,R,R,D,R,D,R,R,R,D,D,R,R,D,D,R,R,R
308,D,R,R,R,D,R,D,R,R,D,R,R,D,D,R,D,R
309,R,R,R,R,D,R,R,R,D,D,R,R,D,D,R,R,R
310,R,D,R,R,D,R,D,R,D,D,R,R,D,D,D,R,R
311,R,D,R,R,D,R,D,R,R,R,R,R,D,D,D,D,R
312,D,R,D,R,D,R,D,R,D,D,D,D,D,D,D,D,R
313,R,R,R,R,D,R,D,R,R,D,R,R,D,D,R,R,R
314,D,R,R,R,D,D,D,D,D,D,R,D,D,D,D,D,D
315,R,R,R,R,D,R,R,R,R,D,R,D,D,D,R,R,R
316,R,R,R,R,D,R,R,R,D,D,R,D,D,D,D,R,R
317,R,D,R,R,D,R,D,R,D,R,R,R,D,D,D,D,R
318,R,D,R,R,D,R,R,R,R,D,R,D,D,D,R,R,R
319,R,R,R,R,D,R,R,R,R,R,R,R,D,D,R,R,R
320,R,R,R,R,D,R,R,R,R,R,R,R,D,D,R,D,R
321,D,R,D,R,D,R,D,R,D,D,R,D,D,D,D,D,D
322,R,R,R,R,D,R,R,R,D,D,R,D,D,D,R,R,R
323,R,R,R,R,D,R,R,R,R,R,R,R,D,D,D,R,R
324,R,R,R,R,D,R,D,R,R,D,R,R,D,D,R,R,R
325,D,R,R,R,R,R,R,R,D,R,R,R,D,D,D,D,R
326,R,D,R,R,D,R,D,R,R,R,R,R,D,D,R,R,R
327,R,R,R,R,D,R,R,R,R,D,R,D,D,D,D,R,R
328,D,D,D,D,D,R,D,R,D,D,D,D,D,D,D,D,R
329,R,R,R,R,D,R,D,R,R,D,R,D,D,D,D,D,R
330,R,R,R,R,D,R,R,R,R,R,R,R,D,D,D,R,R
331,D,R,R,R,D,R,D,R,R,R,R,R,D,D,R,R,D
332,R,R,R,R,D,R,R,R,R,R,R,R,D,D,R,D,R
333,R,D,R,R,D,D,D,D,D,D,R,D,D,D,D,D,D
334,R,R,R,R,D,R,R,R,D,R,R,D,D,D,R,R,R
335,R,R,R,R,R,R,R,R,R,D,R,R,D,D,R,R,R
